id	name	value	current_usage_note_code_value	property_type_note_code_value	node	created_at	updated_at
1	Cinema Hall - Multiplex	CMUL	CURRENT USAGE-OTHERS	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
2	Commercial Plot	COMP	CURRENT USAGE-OTHERS	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
3	Godown-Warehouses	GWARE	CURRENT USAGE-OTHERS	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
4	Hospital-Nursing Home	HNUR	CURRENT USAGE-OTHERS	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
5	Hotel Properties	HPROP	CURRENT USAGE-OTHERS	PROPERTY TYPE-COMMERCIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
6	INDUSTRIAL GALA-LAND-PLOT	INDPRO	CURRENT USAGE-OTHERS	PROPERTY TYPE-COMMERCIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
7	Mixed Usage- Self Occupied	MUSO	CURRENT USAGE-OTHERS	PROPERTY TYPE-MIXED USE	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
8	Plot Purchase and Self Construction	PLC	CURRENT USAGE-VACANT	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
9	Rented Commerical	RC	CURRENT USAGE-RENTED	PROPERTY TYPE-COMMERCIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
10	Rented Residential	RR	CURRENT USAGE-RENTED	PROPERTY TYPE-RESIDENTIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
11	Resale	RESAL	CURRENT USAGE-OTHERS	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
12	Self Construction	SCN	CURRENT USAGE-OTHERS	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
13	Self Occupied Commerical	SC	CURRENT USAGE-SELF OCCUPIED	PROPERTY TYPE-COMMERCIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
14	Self Occupied Residential	SR	CURRENT USAGE-SELF OCCUPIED	PROPERTY TYPE-RESIDENTIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
15	Shopping Mall	SMALL	CURRENT USAGE-OTHERS	PROPERTY TYPE-COMMERCIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
16	Under Construction	UC	CURRENT USAGE-UNDER CONSTRUCTION	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
17	Vacant Commercial	VC	CURRENT USAGE-VACANT	PROPERTY TYPE-COMMERCIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
18	Vacant Residential	VR	CURRENT USAGE-VACANT	PROPERTY TYPE-RESIDENTIAL	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
19	Vacant Residential Plot	VRP	CURRENT USAGE-VACANT	PROPERTY TYPE-OTHERS	current_usage	2019-01-09 00:00:00	2019-01-09 00:00:00
